family_id,family,catalog_items_examples,approx_items,pipeline_component,collector,status,notes
F01,Core EVTX channels,Security.evtx; System.evtx; Application.evtx; Setup.evtx; ForwardedEvents.evtx,5,eventlog collector,EventLogCollector,implemented,Get-WinEvent tail of configured channels
F02,Sysmon operational channel + EIDs 1-29/255,Microsoft-Windows-Sysmon/Operational; Event ID 1..29; Event ID 255,32,sysmon + eventlog,SysmonCollector; EventLogCollector,implemented,health check + event ingest
F03,PowerShell channels & events,Windows PowerShell; Microsoft-Windows-PowerShell/Operational|Admin|Analytic; PowerShell Event 400/401/403/4103/4104/4105/4106/40961/40962; ScriptBlock/Module/Transcription,28,eventlog collector,EventLogCollector,implemented,channel query; script content never stored
F04,Windows Defender / Microsoft Defender family,Windows Defender Operational; Defender Antivirus; Defender Network Inspection; Exploit Guard; SmartScreen; Defender Operational Log; MPLog; Detection History; Quarantine; Threat History,62,defender collector,DefenderCollector; EventLogCollector,implemented,status + detections; channel events via F01
F05,CodeIntegrity / WDAC / AppLocker,CodeIntegrity Operational; WDAC Audit/Block/Policy; AppLocker EXE-DLL/MSI-Script/Packaged; HVCI; Memory Integrity; Device Guard; Credential Guard,74,eventlog collector,EventLogCollector,implemented,3033/3034/3076/3077 + AppLocker channels
F06,TaskScheduler / WMI / BITS channels & events,TaskScheduler Operational; TaskScheduler Event 106-204; WMI Event 5857-5861; WMI-Activity Operational; BITS-Client Operational,58,eventlog + wmi + tasks,EventLogCollector; WmiSubscriptionCollector; ScheduledTaskCollector,implemented,subscriptions enumerated live
F07,Firewall / WFP,Windows Firewall With Advanced Security; Windows Filtering Platform; WFP Connection/Packet Drop; pfirewall.log; Firewall Dropped Packets,26,planned parser,none yet,planned,phase 2 pfirewall.log parser
F08,DNS client,DNS Client Operational; DNS Client Cache; DNS Resolver Cache; DNS Query History; DNS Event 3006-3020,16,network collector,NetworkCollector,partial,Get-DnsClientCache implemented; ETW DNS opt-in
F09,WER / AppCompat diagnostics,Windows Error Reporting; Application Experience; Diagnostics-Performance; User Profile Service; GroupPolicy Operational,24,eventlog collector,EventLogCollector,partial,channels queryable; no dedicated rules yet
F10,Kernel-* ETW providers,Kernel-General/Boot/PnP/Power/EventTracing/Processor-Power/Registry/File/Network/Process/Thread/Image/Memory/IO/Audit,60,etw collector,EtwCollector,opt-in,provider inventory implemented; trace capture requires --etw
